purchase_number;articles_found;orders_found;status;file_name;file_path;article_snippets;order_snippets
0108500000425000045;22;;article;Закупка № 0108500000425000045 Прил№3_Обоснование НМЦК.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0108500000425000045 Прил№3_Обоснование НМЦК.xlsx;22: (Н(М)ЦК) в соответствии с требованиями  ст.22 ФЗ-44 от 05.04.2013 г. на поставку алюм;
0108500000425000970;22;;article;Закупка № 0108500000425000970 Приложение № 3 Обоснование НМЦК .xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0108500000425000970 Приложение № 3 Обоснование НМЦК .xlsx;22: (Н(М)ЦК) в соответствии с требованиями  ст.22 ФЗ-44 от 05.04.2013 г. на поставку алюм | иза рынка) в соответствии с положениями статьи 22 Закона № 44-ФЗ без учета такой информац;
0112200000825000736;22;;article;Закупка № 0112200000825000736 НМЦК новый.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0112200000825000736 НМЦК новый.xlsx;22: н (анализа рынка) В соответствии с ч. 6 ст.22 Федерального закона от 05.04.2013 N 44-;
0112200000825001574;22;;article;Закупка № 0112200000825001574 Обоснование НМЦК лодка.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0112200000825001574 Обоснование НМЦК лодка.xlsx;22: н (анализа рынка) В соответствии с ч. 6 ст.22 Федерального закона от 05.04.2013 N 44-;
0112200000825002195;22;;article;Закупка № 0112200000825002195 НМЦК новый.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0112200000825002195 НМЦК новый.xlsx;22: н (анализа рынка) В соответствии с ч. 6 ст.22 Федерального закона от 05.04.2013 N 44-;
0112200000825002420;22;;article;Закупка № 0112200000825002420 НМЦК новый.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0112200000825002420 НМЦК новый.xlsx;22: н (анализа рынка) В соответствии с ч. 6 ст.22 Федерального закона от 05.04.2013 N 44-;
0112200000825003180;22;;article;Закупка № 0112200000825003180 НМЦК новый.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0112200000825003180 НМЦК новый.xlsx;22: н (анализа рынка) В соответствии с ч. 6 ст.22 Федерального закона от 05.04.2013 N 44-;
0118300013325000668;22;567;orders+article;Закупка № 0118300013325000668 Обоснование НМЦК.xls;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0118300013325000668 Обоснование НМЦК.xls;22: й) цены контракта в соответствии с ч. 6 ст. 22 Федерального закона от 05.04.2013 № 44- | й) цены контракта в соответствии с ч. 6 ст. 22 Федерального закона от 05.04.2013 № 44-;567: кой Федерации от 2 октября 2013 года  № 567 «Об утверждении методических рекомендац | ской Федерации от 2 октября 2013 года № 567 «Об утверждении методических рекомендац
0119200000125006292;22;;article;Закупка № 0119200000125006292 НМЦК (приложение 2).xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0119200000125006292 НМЦК (приложение 2).xlsx;22: В соответствии с ч. 2 ст. 22 Федерального закона от 05.04.2013 № 44-;
0119200000125009364;22;;article;Закупка № 0119200000125009364 Обоснование НМЦК.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0119200000125009364 Обоснование НМЦК.xlsx;22: В соответствии с п. 2 ст. 22 Федерального закона от 05.04.2013 № 44-;
0119200000125011262;22;;article;Закупка № 0119200000125011262 НМЦК.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0119200000125011262 НМЦК.xlsx;22: В соответствии с п. 2 ст. 22 Федерального закона от 05.04.2013 № 44-;
0119200000125011763;22;;article;Закупка № 0119200000125011763 НМЦК Лодка надувная.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0119200000125011763 НМЦК Лодка надувная.xlsx;22: В соответствии с п. 2 ст. 22 Федерального закона от 05.04.2013 № 44-;
0131200001025002492;;567;orders;Закупка № 0131200001025002492 Приложение 2-Обоснование  НМЦК-02681.xls;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0131200001025002492 Приложение 2-Обоснование  НМЦК-02681.xls;;"567: тия Российской Федерации от 02.10.2013 №567 ""Об утверждении методических рекомендац"
0131200001025002520;;567;orders;Закупка № 0131200001025002520 Приложение №2 Обоснование НМЦК.xls;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0131200001025002520 Приложение №2 Обоснование НМЦК.xls;;"567: тия Российской Федерации от 02.10.2013 №567 ""Об утверждении методических рекомендац"
0131200001025002707;;567;orders;Закупка № 0131200001025002707 Приложение 2-Обоснование  НМЦК-02805.xls;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0131200001025002707 Приложение 2-Обоснование  НМЦК-02805.xls;;"567: тия Российской Федерации от 02.10.2013 №567 ""Об утверждении методических рекомендац"
