purchase_number;articles_found;orders_found;status;file_name;file_path;article_snippets;order_snippets
0107300010225000041;22;;article;Закупка № 0107300010225000041 ПРИЛОЖЕНИЕ № 1 - Обоснование НМЦК (1) — копия — копия.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0107300010225000041 ПРИЛОЖЕНИЕ № 1 - Обоснование НМЦК (1) — копия — копия.docx;22: В соответствии с ч.1 ст.22 Федерального закона от 05.04.2013 № 44-;
0111200000125000014;;639;orders;Закупка № 0111200000125000014 n796348_ОНМЦК_по_приказу_Минпромторга_РФ_639_N2EbTjg.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0111200000125000014 n796348_ОНМЦК_по_приказу_Минпромторга_РФ_639_N2EbTjg.doc;;639: зом Минпромторга России от 28.02.2023 № 639 «Об утверждении Порядка определения нач
0122300013825000042;;567;orders;Закупка № 0122300013825000042 VI.ОНМЦК.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0122300013825000042 VI.ОНМЦК.doc;;"567: инэкономразвития России от 02.10.2013 № 567 (далее – Методические рекомендации). В"
0122300013825000047;;567;orders;Закупка № 0122300013825000047 VI.ОНМЦК.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0122300013825000047 VI.ОНМЦК.doc;;"567: инэкономразвития России от 02.10.2013 № 567 (далее – Методические рекомендации). В"
0124200000625000279;22;567;orders+article;Закупка № 0124200000625000279 Лодка Обоснование НМЦК 2.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0124200000625000279 Лодка Обоснование НМЦК 2.docx;22: оставлено в соответствии с требованиями статьи 22 Федерального закона от 05 апреля 2013 г;567: кой Федерации от 02 октября 2013 года № 567 «Об утверждении Методических рекомендац
0130300016825000003;;639;orders;Закупка № 0130300016825000003 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0130300016825000003 Обоснование НМЦК.docx;;639: зом Минпромторга России от 28.02.2023 № 639 «Об утверждении Порядка определения нач
0130600040525000046;22;;article;Закупка № 0130600040525000046 НМЦК плотомои.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0130600040525000046 НМЦК плотомои.docx;22: ванием: проектно-сметный метод, п.4 ч.1 ст.22 Федерального закона от 05.04.2013 № 44-;
0130600040525000061;22;;article;Закупка № 0130600040525000061 Обоснование НМЦК (15).docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0130600040525000061 Обоснование НМЦК (15).docx;22: сметный метод. В соответствии с ч. 9.1. ст. 22 Федерального закона от 05.04.2013 № 44-;
0134300044425000014;22;567;orders+article;Закупка № 0134300044425000014 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0134300044425000014 Обоснование НМЦК.docx;22: ы контракта приведено в соответствии со статьей 22 Закона о контрактной системе и Приказом | ализа рынка). В соответствии с частью 6 статьи 22 Федерального закона от 5 апреля 2013 г.;567: ской Федерации от 2 октября 2013 года № 567 «Об утверждении методических рекомендац
0138200003725000024;;567;orders;Закупка № 0138200003725000024 ОБОСНОВАНИЕ НМЦК (Приложение № 2).docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0138200003725000024 ОБОСНОВАНИЕ НМЦК (Приложение № 2).docx;;567: ия Российской Федерации от 02.10.2013 № 567 «Об утверждении методических рекомендац
0140300024825000010;22;567;orders+article;Закупка № 0140300024825000010 НМЦК_Выполнение-работ-на-изготовление-понтона-катамаранного-типа-для-моста--наплавного--через-реку-Кильмезь-на-автомобильной-дороге--Кильмезь-Селино--Чернушка.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0140300024825000010 НМЦК_Выполнение-работ-на-изготовление-понтона-катамаранного-типа-для-моста--наплавного--через-реку-Кильмезь-на-автомобильной-дороге--Кильмезь-Селино--Чернушка.docx;22: ом, исполнителем) (в соответствии с п.6 ст.22 44-ФЗ) Расчет выполнен в соответствии с;567: жденными приказом МЭР РФ от 02.10.2013 №567
