purchase_number;articles_found;orders_found;status;file_name;file_path;article_snippets;order_snippets
0348200077025000009;;567;orders;Закупка № 0348200077025000009 Обоснование НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0348200077025000009 Обоснование НМЦК.pdf;;567: ия Российской Федерации от 02.10.2013 № 567 «Об  утверждении методических рекоменда
0348200077025000010;;567;orders;Закупка № 0348200077025000010 Обоснование НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0348200077025000010 Обоснование НМЦК.pdf;;567: ия Российской Федерации от 02.10.2013 № 567 «Об  утверждении методических рекоменда
0348200077025000023;;567;orders;Закупка № 0348200077025000023 Обоснование НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0348200077025000023 Обоснование НМЦК.pdf;;567: ия Российской Федерации от 02.10.2013 № 567 «Об  утверждении методических рекоменда
0348200080425000058;;567;orders;Закупка № 0348200080425000058 Обоснование НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0348200080425000058 Обоснование НМЦК.pdf;;567: ия Российской Федерации от 02.10.2013 № 567 «Об  утверждении методических рекоменда
0348200085625000008;;567;orders;Закупка № 0348200085625000008 Обоснование НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0348200085625000008 Обоснование НМЦК.pdf;;567: ия Российской Федерации от 02.10.2013 № 567 «Об  утверждении методических рекоменда
0848300047225000349;;567;orders;Закупка № 0848300047225000349 Обоснование НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0848300047225000349 Обоснование НМЦК.pdf;;567: ия Российской Федерации от 02.10.2013 № 567 «Об  утверждении методических рекоменда
0848300049025000250;;567;orders;Закупка № 0848300049025000250 Обоснование НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0848300049025000250 Обоснование НМЦК.pdf;;567: ия Российской Федерации от 02.10.2013 № 567 «Об  утверждении методических рекоменда
0848300057125000063;;567;orders;Закупка № 0848300057125000063 Обоснование НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0848300057125000063 Обоснование НМЦК.pdf;;567: ия Российской Федерации от 02.10.2013 № 567 «Об  утверждении методических рекоменда
0848300058125000126;;567;orders;Закупка № 0848300058125000126 Обоснование НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0848300058125000126 Обоснование НМЦК.pdf;;567: ия Российской Федерации от 02.10.2013 № 567 «Об  утверждении методических рекоменда
0848600002725000100;;567;orders;Закупка № 0848600002725000100 Обоснование НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0848600002725000100 Обоснование НМЦК.pdf;;567: ия Российской Федерации от 02.10.2013 № 567 «Об  утверждении методических рекоменда
0848600002725000101;;567;orders;Закупка № 0848600002725000101 Обоснование НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0848600002725000101 Обоснование НМЦК.pdf;;567: ия Российской Федерации от 02.10.2013 № 567 «Об  утверждении методических рекоменда
0848600002725000108;;567;orders;Закупка № 0848600002725000108 Обоснование НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0848600002725000108 Обоснование НМЦК.pdf;;567: ия Российской Федерации от 02.10.2013 № 567 «Об  утверждении методических рекоменда
0848600002725000109;;567;orders;Закупка № 0848600002725000109 Обоснование НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0848600002725000109 Обоснование НМЦК.pdf;;567: ия Российской Федерации от 02.10.2013 № 567 «Об  утверждении методических рекоменда
