purchase_number;file_name;file_path
0123300004625000062;Закупка № 0123300004625000062 Приложение № 4. Обоснование НМЦК.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0123300004625000062 Приложение № 4. Обоснование НМЦК.doc
0123300004625000078;Закупка № 0123300004625000078 Приложение № 4. Обоснование НМЦК.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0123300004625000078 Приложение № 4. Обоснование НМЦК.doc
0123300004625000081;Закупка № 0123300004625000081 Приложение № 4. Обоснование НМЦК.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0123300004625000081 Приложение № 4. Обоснование НМЦК.doc
0137200001225001431;Закупка № 0137200001225001431 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0137200001225001431 Обоснование НМЦК.docx
0137200001225003242;Закупка № 0137200001225003242 1. Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0137200001225003242 1. Обоснование НМЦК.docx
0152300044225000021;Закупка № 0152300044225000021 Обоснование НМЦК — понтон.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0152300044225000021 Обоснование НМЦК — понтон.docx
0162300009425000008;Закупка № 0162300009425000008 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0162300009425000008 Обоснование НМЦК.docx
0162300015625000001;Закупка № 0162300015625000001 1. Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0162300015625000001 1. Обоснование НМЦК.docx
0164300016525000428;Закупка № 0164300016525000428 Приложение №1 Обоснование начальной (максимальной) цены контракта.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0164300016525000428 Приложение №1 Обоснование начальной (максимальной) цены контракта.docx
0166300024725000297;Закупка № 0166300024725000297 ОНМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0166300024725000297 ОНМЦК.docx
0166300024725000424;Закупка № 0166300024725000424 НМЦК.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0166300024725000424 НМЦК.doc
0184200000625000685;Закупка № 0184200000625000685 Обонование НМЦК-1_.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0184200000625000685 Обонование НМЦК-1_.docx
0190200000325001423;Закупка № 0190200000325001423 Приложение 2 Обоснование НМЦК.docx.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0190200000325001423 Приложение 2 Обоснование НМЦК.docx.docx
0190200000325006095;Закупка № 0190200000325006095 Приложение 2 Обоснование НМЦК.docx.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0190200000325006095 Приложение 2 Обоснование НМЦК.docx.docx
0190200000325007779;Закупка № 0190200000325007779 Приложение 2 Обоснование НМЦК.docx.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0190200000325007779 Приложение 2 Обоснование НМЦК.docx.docx
0190200000325008370;Закупка № 0190200000325008370 Приложение 2 Обоснование НМЦК.docx.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0190200000325008370 Приложение 2 Обоснование НМЦК.docx.docx
0190300000725000419;Закупка № 0190300000725000419 Обоснование НМЦК.docx.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0190300000725000419 Обоснование НМЦК.docx.docx
0319300325525000089;Закупка № 0319300325525000089 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0319300325525000089 Обоснование НМЦК.docx
0319300325525000115;Закупка № 0319300325525000115 ОБОСНОВАНИЕ НАЧАЛЬНОЙ.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0319300325525000115 ОБОСНОВАНИЕ НАЧАЛЬНОЙ.docx
0319300325525000165;Закупка № 0319300325525000165 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0319300325525000165 Обоснование НМЦК.docx
0319300325525000249;Закупка № 0319300325525000249 ОБОСНОВАНИЕ НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0319300325525000249 ОБОСНОВАНИЕ НМЦК.docx
0324100004425000103;Закупка № 0324100004425000103 Приложение № 2 - Обоснование начальной (максимальной) цены контракта 103-ОА.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0324100004425000103 Приложение № 2 - Обоснование начальной (максимальной) цены контракта 103-ОА.docx
0329200062225003889;Закупка № 0329200062225003889 Обоснование НМЦК.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0329200062225003889 Обоснование НМЦК.doc
0332100025625000013;Закупка № 0332100025625000013 Приложение 2 - Расчет НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0332100025625000013 Приложение 2 - Расчет НМЦК.docx
0332100025625000014;Закупка № 0332100025625000014 Приложение 2 - Расчет НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0332100025625000014 Приложение 2 - Расчет НМЦК.docx
0346300130525000001;Закупка № 0346300130525000001 1. Обоснование НМЦК (прибрежная).docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0346300130525000001 1. Обоснование НМЦК (прибрежная).docx
0346300130525000002;Закупка № 0346300130525000002 1. Обоснование НМЦК (кадеты).docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0346300130525000002 1. Обоснование НМЦК (кадеты).docx
0346300130525000003;Закупка № 0346300130525000003 1. Обоснование НМЦК (4).docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0346300130525000003 1. Обоснование НМЦК (4).docx
0346300130525000004;Закупка № 0346300130525000004 1. Обоснование НМЦК (8).docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0346300130525000004 1. Обоснование НМЦК (8).docx
0346300130525000005;Закупка № 0346300130525000005 1. Обоснование НМЦК (кадеты).docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0346300130525000005 1. Обоснование НМЦК (кадеты).docx
0346300130525000006;Закупка № 0346300130525000006 1. Обоснование НМЦК (8).docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0346300130525000006 1. Обоснование НМЦК (8).docx
0346300130525000007;Закупка № 0346300130525000007 1. Обоснование НМЦК (8).docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0346300130525000007 1. Обоснование НМЦК (8).docx
0346300130525000008;Закупка № 0346300130525000008 1. Обоснование НМЦК (2ка).docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0346300130525000008 1. Обоснование НМЦК (2ка).docx
0346300130525000009;Закупка № 0346300130525000009 1. Обоснование НМЦК (2ка).docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0346300130525000009 1. Обоснование НМЦК (2ка).docx
0352100012725000033;Закупка № 0352100012725000033 16-ЭА-2025 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0352100012725000033 16-ЭА-2025 Обоснование НМЦК.docx
0352100012725000035;Закупка № 0352100012725000035 17-ЭА-2025 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0352100012725000035 17-ЭА-2025 Обоснование НМЦК.docx
0358100002225000040;Закупка № 0358100002225000040 Приложение №2_Обоснование НМЦК_21-25-ЭА.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0358100002225000040 Приложение №2_Обоснование НМЦК_21-25-ЭА.docx
0364300108425000011;Закупка № 0364300108425000011 Обоснование НМЦК понтон.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0364300108425000011 Обоснование НМЦК понтон.docx
0372100027325000037;Закупка № 0372100027325000037 НМЦК_Шлюпка ПК_PD-380.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0372100027325000037 НМЦК_Шлюпка ПК_PD-380.doc
0372100027325000084;Закупка № 0372100027325000084 НМЦК_Шлюпка ПК_PD-380.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0372100027325000084 НМЦК_Шлюпка ПК_PD-380.doc
0372100027325000135;Закупка № 0372100027325000135 НМЦК_Шлюпка ПК_PD-380.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0372100027325000135 НМЦК_Шлюпка ПК_PD-380.doc
