purchase_number;file_name;file_path
0301200077625000030;Закупка № 0301200077625000030 НМЦК.xlsx.pdf.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0301200077625000030 НМЦК.xlsx.pdf.pdf
0321100017225000063;Закупка № 0321100017225000063 Приложение 2. Обоснование НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0321100017225000063 Приложение 2. Обоснование НМЦК.pdf
0329200062225003939;Закупка № 0329200062225003939 Обоснование НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0329200062225003939 Обоснование НМЦК.pdf
0330300051225000044;Закупка № 0330300051225000044 Приложение 1 НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0330300051225000044 Приложение 1 НМЦК.pdf
0332200039325000001;Закупка № 0332200039325000001 Обоснование НМЦК лодка.PDF;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0332200039325000001 Обоснование НМЦК лодка.PDF
0348100011225000015;Закупка № 0348100011225000015 НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0348100011225000015 НМЦК.pdf
0348200077025000023;Закупка № 0348200077025000023 Обоснование применения доп. характеристик.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0348200077025000023 Обоснование применения доп. характеристик.pdf
0352100012725000033;Закупка № 0352100012725000033 Обоснование иного метода.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0352100012725000033 Обоснование иного метода.pdf
0352100012725000035;Закупка № 0352100012725000035 Обоснование иного метода.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0352100012725000035 Обоснование иного метода.pdf
0356500001425004169;Закупка № 0356500001425004169 Обоснование НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0356500001425004169 Обоснование НМЦК.pdf
0832200006625000006;Закупка № 0832200006625000006 12ЭА-25. Расчет НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0832200006625000006 12ЭА-25. Расчет НМЦК.pdf
0832200006625000139;Закупка № 0832200006625000139 139ЭА-25. Расчет НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0832200006625000139 139ЭА-25. Расчет НМЦК.pdf
0848600002725000100;Закупка № 0848600002725000100 обоснование невозможности для НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0848600002725000100 обоснование невозможности для НМЦК.pdf
0848600002725000109;Закупка № 0848600002725000109 Обоснование невозможности НМЦК байдарки.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0848600002725000109 Обоснование невозможности НМЦК байдарки.pdf
